tokens,counts
—,3368
“,1325
’,1323
time,1224
man,1017
‘,870
”,820
world,811
made,782
men,680
back,667
grass,631
great,627
people,622
life,612
thought,570
long,565
things,528
mind,512
day,490
hand,476
earth,467
make,454
eyes,449
thing,441
moment,400
space,397
work,396
air,396
found,392
night,392
light,388
good,382
ralph,376
raymond,357
state,355
face,350
dalgard,350
left,349
place,345
raf,344
looked,335
head,328
part,319
turned,308
began,307
cavor,306
utopia,305
heard,301
side,295
half,293
small,291
machine,289
years,284
feet,282
felt,280
hands,279
sort,277
human,275
end,275
black,274
water,271
stood,270
high,266
moon,266
put,265
sun,264
love,263
knew,262
point,258
general,257
heart,254
city,253
nature,252
white,248
give,247
ﬁrst,245
sea,244
find,241
set,241
days,240
gave,236
1,235
death,233
green,232
suddenly,230
words,229
strange,227
power,226
body,225
idea,225
open,224
common,223
line,222
brought,220
order,219
women,219
voice,217
house,216
matter,215
perdita,214
country,213
sphere,213
doubt,209
sight,209
sky,208
clear,203
means,198
dark,198
round,197
lost,197
longer,197
mr,197
passed,196
door,196
hope,195
present,194
lay,191
room,191
brother,190
times,189
woman,189
dead,188
fear,188
coming,187
utopian,187
sound,185
told,184
asked,184
number,182
understand,177
feeling,176
sssuri,176
road,174
large,174
martians,173
fact,173
full,172
eye,172
change,172
sat,170
question,170
red,168
feel,167
making,167
francis,167
rest,167
return,167
miss,166
modern,164
miles,164
darkness,164
free,163
called,162
natural,161
form,161
appeared,161
london,160
past,160
glass,160
alice,158
children,157
read,156
public,156
hours,156
close,155
land,155
reason,153
interest,153
hour,153
kind,153
ground,153
hundred,152
living,151
home,150
story,149
paper,149
knowledge,148
friend,148
adrian,148
food,146
weener,146
sense,146
houses,145
short,144
suppose,144
presently,144
blue,144
manner,143
morning,143
fell,143
planet,143
young,142
call,141
leave,141
flyer,141
word,141
spirit,141
ran,140
heat,140
