tokens,counts
dalgard,350
ﬁrst,196
sssuri,176
ﬁnd,104
idris,98
soriki,71
evadne,62
ve,62
lablet,54
ﬁre,48
rafs,42
ﬁve,41
poietic,40
ﬁne,39
6,36
ﬁgure,34
homeport,29
0,27
weybridge,25
8,24
scientiﬁc,23
horsell,23
terrans,23
merpeople,21
rs,21
didn,20
ﬁgures,20
ﬂash,20
classiﬁcation,20
isn,20
inﬁnite,19
vo,19
ﬂame,19
ﬁeld,17
maybury,17
1,17
ﬁred,16
artiﬁcial,16
ﬁring,16
ﬁnal,16
3,16
chobham,15
ofﬁce,15
ofﬁcial,15
wasn,14
ﬂashes,14
ﬂashed,14
ﬁxed,14
ﬂight,14
difﬁcult,14
ﬂying,14
wonstead,14
ﬁnally,13
sufﬁcient,13
trafﬁc,13
shepperton,13
conﬂict,13
difﬁculty,12
ﬂuctuating,12
ﬂoor,12
ﬁghting,12
byﬂeet,12
deﬁnition,12
ﬁght,12
efﬁcient,12
conﬁdence,11
ﬁner,11
ﬂow,11
ﬁfty,11
sufﬁciently,11
60,10
ﬂung,10
difﬁculties,10
ﬁnger,10
kurbi,10
2,10
ing,10
edgware,9
londonward,9
ofﬁces,9
speciﬁc,9
ﬁelds,9
ﬁlled,9
signiﬁcance,9
ﬂed,9
ﬂat,9
aggregatory,9
ﬂames,8
halliford,8
un,8
stent,8
pyrford,8
deﬁned,7
ﬁnite,7
efﬁciency,7
kishan,7
ﬂowed,7
utopists,7
qualiﬁcations,7
ﬁnds,7
ﬂoat,7
qualiﬁcation,7
couldn,7
chieﬂy,7
cabet,7
ﬂickering,7
ﬁnished,7
lucendro,7
sorild,7
4,7
rodosto,7
ﬁnish,6
ottershaw,6
deﬁnite,6
gotthard,6
ﬁngers,6
ﬂower,6
dis,6
tion,6
wey,6
tiie,6
conﬂicting,6
frognal,6
ﬁfth,6
ﬂag,6
terriﬁed,5
ﬁlthy,5
speciﬁed,5
ﬁnding,5
ironclads,5
heatray,5
erent,5
ﬁt,5
ﬂies,5
ulswater,5
ofﬁcials,5
karazza,5
ﬂicker,5
urseren,5
signiﬁcant,5
unﬁt,5
qualiﬁed,5
conﬁned,5
ﬂooded,4
developement,4
ﬂ,4
sufﬁce,4
addlestone,4
classiﬁcations,4
ﬁery,4
cada,4
undigniﬁed,4
stanmore,4
unqualiﬁed,4
sacriﬁce,4
reﬂect,4
inﬂuence,4
ﬂood,4
astran,4
18,4
petriﬁed,4
diﬂ,4
beneﬁt,4
zaimi,4
inﬁnitely,4
ot,4
reﬁne,4
ofﬁcers,4
ﬂaming,4
hospenthal,4
campanella,4
7,4
5,4
deﬁne,4
andermatt,3
ﬁlls,3
eﬁ,3
deﬁed,3
patriotisms,3
ﬂoating,3
doesn,3
aﬂ,3
ﬁll,3
cyclopædia,3
modiﬁcation,3
ﬁfteen,3
ﬂattened,3
ediﬁce,3
unparticipated,3
proliﬁc,3
ﬂinging,3
mufﬂed,3
ﬂy,3
ect,3
superﬁcial,3
75,3
weren,3
kapou,3
furka,3
justiﬁed,3
thumbmark,3
fcap,3
ﬂexible,3
ﬂuid,3
nordis,3
duocorn,3
roehampton,3
