tokens,counts
antonio,1021
bassanio,916
shylock,913
jew,842
portia,727
launcelot,572
lorenzo,510
shy,509
jessica,483
por,463
bass,449
bond,404
venice,400
gratiano,390
nerissa,380
sir,374
a,321
duke,303
ring,293
ducats,293
merchant,271
toby,268
¡,268
lor,255
laun,249
gra,248
don,239
i,238
f,232
you,227
viola,220
christian,217
helena,208
olivia,204
salarino,202
choose,187
malvolio,182
belmont,177
ner,173
gobbo,170
fair,168
andrew,164
hermia,162
flesh,157
tubal,152
judge,152
que,150
her,147
salanio,146
master,145
demetrius,144
salar,144
vio,143
claud,141
lysander,139
hero,137
pound,135
maria,134
fr,133
money,132
love,131
jes,131
leon,130
oli,129
benedick,128
casket,125
bertram,124
thousand,120
pyramus,119
puck,114
for,114
forfeit,112
beatrice,112
á,110
¿,110
parolles,110
bottom,110
gob,109
swear,108
caskets,107
clerk,107
me,106
claudio,105
pray,104
music,104
sweet,101
‘,101
signior,96
bellario,94
bot,94
law,94
leonato,93
of,93
thisbe,91
house,91
salerio,89
chooseth,89
in,88
morocco,87
lys,87
lafeu,85
theseus,85
fabian,85
countess,82
dem,81
wit,79
justice,78
fairy,77
three,76
merry,75
mercy,74
antipholus,74
jacob,73
forfeiture,73
if,72
dromio,72
sebastian,72
therefore,72
court,71
salan,71
hel,71
comedy,71
diana,70
deny,69
el,69
wealth,68
doctor,66
quince,66
padua,66
am,66
faith,65
dinner,65
de,65
titania,65
daughter,64
interest,64
sola,64
hazard,63
clown,63
oberon,63
your,63
rialto,62
sand,62
fab,62
hip,61
arragon,61
worship,61
well,60
pedro,60
doth,59
letter,59
clo,57
y,57
she,57
quin,56
sum,56
count,55
devil,55
stephano,54
old,54
the,53
months,52
my,52
sad,51
arbor,50
penalty,50
prince,49
desire,49
orsino,49
an,49
oath,48
god,48
learned,48
jewish,48
beat,48
bor,48
as,48
fleece,47
unless,47
youth,47
christians,47
gold,47
moneys,46
golden,46
jews,46
niece,45
ship,45
obe,45
gaoler,45
fancy,45
goods,44
tub,44
same,44
fairies,44
young,43
choice,43
dog,43
lion,42
lend,42
merchants,42
