tokens,counts
gertrude,-91
cass,-91
cli,-91
2,-91
cato,-93
reg,-93
cawdor,-93
knocking,-93
weird,-94
mia,-94
varro,-96
statue,-97
lightning,-97
adolphe,-97
luc,-99
em,-99
mighty,-100
soldier,-101
dec,-102
d,-103
burgundy,-104
clitus,-104
war,-105
mess,-106
conspiracy,-106
citizens,-108
charlotte,-108
fulvia,-108
edm,-109
alarum,-109
apemantus,-109
fortinbras,-110
oph,-110
thane,-110
mutiny,-110
their,-115
macd,-117
dolabella,-118
lod,-119
alexas,-120
cesar,-121
moor,-121
crown,-122
char,-123
lago,-123
slain,-125
rom,-126
t,-126
othello,-126
ides,-127
lieutenant,-128
noble,-129
bernardo,-130
soothsayer,-130
ambition,-130
io,-132
daughters,-135
volumnius,-136
voi,-136
th,-137
laer,-137
osric,-138
ligarius,-139
oct,-140
mio,-140
emilia,-141
menas,-143
weep,-145
bra,-146
strato,-147
ross,-148
marcus,-150
oh,-150
',-150
—,-151
thunder,-151
funeral,-153
montague,-157
rod,-158
agrippa,-160
cin,-160
julius,-166
sec,-168
dead,-171
cimber,-171
publius,-171
egypt,-171
sar,-172
0,-174
tent,-175
edg,-176
ccesar,-176
duncan,-178
murder,-180
emil,-180
claudius,-180
trebonius,-181
denmark,-181
castle,-182
mes,-182
iras,-182
octavia,-185
laurence,-185
eno,-186
pol,-190
oswald,-195
marcellus,-195
calpurnia,-195
caius,-195
march,-202
senators,-205
philippi,-206
queen,-206
romans,-207
di,-208
witch,-209
benvolio,-211
pindarus,-211
emi,-212
soldiers,-213
metellus,-214
conspirators,-214
o,-220
malcolm,-222
death,-223
senate,-228
non,-230
battle,-230
cicero,-234
mercutio,-234
sword,-236
roman,-237
desdemona,-243
guildenstern,-244
our,-246
eros,-248
decius,-249
timon,-251
tybalt,-254
cornwall,-256
glos,-257
rosencrantz,-257
cces,-264
albany,-274
otel,-276
lucilius,-285
plutarch,-288
antonius,-302
cinna,-308
ham,-315
capitol,-329
il,-331
capulet,-333
charmian,-334
goneril,-336
juliet,-349
csesar,-356
lepidus,-371
banquo,-374
oth,-375
edmund,-378
macduff,-380
regan,-384
titinius,-387
gods,-391
cleo,-401
cordelia,-404
messala,-408
ophelia,-414
ghost,-440
enobarbus,-443
che,-460
laertes,-471
octavius,-491
polonius,-493
edgar,-505
nurse,-508
cassio,-524
pompey,-526
king,-572
rome,-589
cit,-597
gloster,-600
horatio,-603
lucius,-605
romeo,-647
des,-671
kent,-739
cleopatra,-877
macbeth,-886
lear,-992
casca,-1076
iago,-1194
hamlet,-1517
cas,-1532
bru,-1925
cassius,-2117
antony,-2837
brutus,-3746
caesar,-4114
